"VarName","TimeString","VarValue","Validity","Time_ms"
"PIT-03","6/3/2019 8:20:51 AM",6.992368,1,43619347814.7454
"PIT-05","6/3/2019 8:20:51 AM",1.246383,1,43619347814.7454
"PIT-06","6/3/2019 8:20:51 AM",4.780635,1,43619347814.7454
"FIT-01","6/3/2019 8:20:56 AM",31.73032,1,43619347872.6157
"FIT-02","6/3/2019 8:20:56 AM",26.74591,1,43619347872.6157
"FIT-03","6/3/2019 8:20:56 AM",4.779607,1,43619347872.6157
"PIT-02","6/3/2019 8:20:56 AM",3.090639,1,43619347872.6157
"PIT-03","6/3/2019 8:20:56 AM",7.022208,1,43619347872.6157
"PIT-05","6/3/2019 8:20:56 AM",1.262659,1,43619347872.6157
"PIT-06","6/3/2019 8:20:56 AM",4.798719,1,43619347872.6157
"FIT-01","6/3/2019 8:21:01 AM",31.73611,1,43619347930.5208
"FIT-02","6/3/2019 8:21:01 AM",26.74591,1,43619347930.5208
"FIT-03","6/3/2019 8:21:01 AM",4.817987,1,43619347930.5208
"PIT-02","6/3/2019 8:21:01 AM",3.141638,1,43619347930.5208
"PIT-03","6/3/2019 8:21:01 AM",7.066515,1,43619347930.5208
"PIT-05","6/3/2019 8:21:01 AM",1.306424,1,43619347930.5208
"PIT-06","6/3/2019 8:21:01 AM",4.83941,1,43619347930.5208
"FIT-01","6/3/2019 8:21:06 AM",31.71875,1,43619347988.4722
"FIT-02","6/3/2019 8:21:06 AM",26.74591,1,43619347988.4722
"FIT-03","6/3/2019 8:21:06 AM",4.817987,1,43619347988.4722
"PIT-02","6/3/2019 8:21:06 AM",3.181785,1,43619347988.4722
"PIT-03","6/3/2019 8:21:06 AM",7.099971,1,43619347988.4722
"PIT-05","6/3/2019 8:21:06 AM",1.344763,1,43619347988.4722
"PIT-06","6/3/2019 8:21:06 AM",4.865632,1,43619347988.4722
"FIT-01","6/3/2019 8:21:11 AM",31.71875,1,43619348046.3426
"FIT-02","6/3/2019 8:21:11 AM",26.67853,1,43619348046.3426
"FIT-03","6/3/2019 8:21:11 AM",4.789145,1,43619348046.3426
"PIT-02","6/3/2019 8:21:11 AM",3.165509,1,43619348046.3426
"PIT-03","6/3/2019 8:21:11 AM",7.09545,1,43619348046.3426
"PIT-05","6/3/2019 8:21:11 AM",1.337529,1,43619348046.3426
"PIT-06","6/3/2019 8:21:11 AM",4.862919,1,43619348046.3426
"FIT-01","6/3/2019 8:21:16 AM",31.71296,1,43619348104.2361
"FIT-02","6/3/2019 8:21:16 AM",26.67853,1,43619348104.2361
"FIT-03","6/3/2019 8:21:16 AM",4.85306,1,43619348104.2361
"PIT-02","6/3/2019 8:21:16 AM",3.132957,1,43619348104.2361
"PIT-03","6/3/2019 8:21:16 AM",7.076461,1,43619348104.2361
"PIT-05","6/3/2019 8:21:16 AM",1.325231,1,43619348104.2361
"PIT-06","6/3/2019 8:21:16 AM",4.854782,1,43619348104.2361
"FIT-01","6/3/2019 8:21:21 AM",31.6956,1,43619348162.1181
"FIT-02","6/3/2019 8:21:21 AM",27.02703,1,43619348162.1181
"FIT-03","6/3/2019 8:21:21 AM",4.85306,1,43619348162.1181
"PIT-02","6/3/2019 8:21:21 AM",3.181785,1,43619348162.1181
"PIT-03","6/3/2019 8:21:21 AM",7.104492,1,43619348162.1181
"PIT-05","6/3/2019 8:21:21 AM",1.352358,1,43619348162.1181
"PIT-06","6/3/2019 8:21:21 AM",4.877387,1,43619348162.1181
